"ORF","Gene","RLS_Del_alpha","N","BY4742","N","p-value","RLS_Del_a","N","BY4741","N","p-value","RLS_Del.pooled","N","Pooled","N","p-value"
"YDR056C",,28.7,-20,26.9,-30,7.80E-001,0,0,0,0,0.00E+000,28.7,-20,26.9,-30,7.80E-001
"YDR061W",,25.1,-10,29.6,-10,2.70E-001,0,0,0,0,0.00E+000,25.1,-10,29.6,-10,2.70E-001
"YDR063W",,23.8,-10,29.6,-10,6.90E-002,0,0,0,0,0.00E+000,23.8,-10,29.6,-10,6.90E-002
"YDR065W",,15.6,-10,29.6,-10,2.80E-003,0,0,0,0,0.00E+000,15.6,-10,29.6,-10,2.80E-003
"YDR066C",,27.5,-15,28.5,-15,9.70E-001,0,0,0,0,0.00E+000,27.5,-15,28.5,-15,9.70E-001
"YDR067C",,25.6,-10,29.6,-10,5.20E-001,0,0,0,0,0.00E+000,25.6,-10,29.6,-10,5.20E-001
"YDR089W",,20.8,-10,29.6,-10,3.40E-002,0,0,0,0,0.00E+000,20.8,-10,29.6,-10,3.40E-002
"YDR090C",,25,-20,27.6,-35,1.00E-001,0,0,0,0,0.00E+000,25,-20,27.6,-35,1.00E-001
"YDR094W",,23.6,-10,29.6,-10,1.40E-001,0,0,0,0,0.00E+000,23.6,-10,29.6,-10,1.40E-001
"YDR095C",,20.1,-10,29.6,-10,3.60E-003,0,0,0,0,0.00E+000,20.1,-10,29.6,-10,3.60E-003
"YDR102C",,26.7,-20,29.6,-20,2.30E-001,0,0,0,0,0.00E+000,26.7,-20,29.6,-20,2.30E-001
"YDR107C",,24.7,-10,29.6,-10,4.50E-001,0,0,0,0,0.00E+000,24.7,-10,29.6,-10,4.50E-001
"YDR109C",,25,-10,29.6,-10,2.00E-001,0,0,0,0,0.00E+000,25,-10,29.6,-10,2.00E-001
"YDR112W",,20.9,-10,29.6,-10,4.50E-002,0,0,0,0,0.00E+000,20.9,-10,29.6,-10,4.50E-002
,,,,,,,,,,,,,,,,
"YDR117C",,23.2,-10,29.6,-10,1.70E-001,0,0,0,0,0.00E+000,23.2,-10,29.6,-10,1.70E-001
"YDR119W",,29.4,-25,29.9,-30,7.70E-001,0,0,0,0,0.00E+000,29.4,-25,29.9,-30,7.70E-001
"YDR124W",,35.4,-20,27.9,-20,1.50E-002,22.6,-40,25.3,-60,8.20E-002,26.8,-60,25.9,-80,9.20E-001
"YDR128W",,19.6,-10,29.6,-10,8.00E-003,0,0,0,0,0.00E+000,19.6,-10,29.6,-10,8.00E-003
"YDR131C",,24.7,-10,29.6,-10,1.60E-001,0,0,0,0,0.00E+000,24.7,-10,29.6,-10,1.60E-001
"YDR132C",,17.9,-10,29.6,-10,1.00E-002,0,0,0,0,0.00E+000,17.9,-10,29.6,-10,1.00E-002
"YDR133C",,22.9,-10,29.6,-10,1.20E-001,0,0,0,0,0.00E+000,22.9,-10,29.6,-10,1.20E-001
"YDR134C",,19.8,-10,29.6,-10,1.00E-002,0,0,0,0,0.00E+000,19.8,-10,29.6,-10,1.00E-002
"YDR248C",,34.6,-25,29.5,-25,2.50E-002,24,-40,25.3,-60,2.40E-001,28.1,-65,26.5,-85,4.60E-001
"YDR249C",,25,-15,29.1,-20,6.60E-002,0,0,0,0,0.00E+000,25,-15,29.1,-20,6.60E-002
"YDR250C",,33.5,-30,28.4,-35,5.10E-002,0,0,0,0,0.00E+000,33.5,-30,28.4,-35,5.10E-002
"YDR262W",,21.4,-5,29,-5,4.60E-001,0,0,0,0,0.00E+000,21.4,-5,29,-5,4.60E-001
"YDR266C",,30.4,-20,26.9,-35,3.00E-001,0,0,0,0,0.00E+000,30.4,-20,26.9,-35,3.00E-001
"YDR274C",,35.6,-30,28.4,-35,8.70E-003,19.7,-40,21.1,-20,2.10E-001,26.5,-70,25.7,-55,8.00E-001
"YDR278C",,34.1,-15,29.4,-15,3.80E-001,0,0,0,0,0.00E+000,34.1,-15,29.4,-15,3.80E-001
"YDR282C",,17,-5,29,-5,9.50E-002,0,0,0,0,0.00E+000,17,-5,29,-5,9.50E-002
"YDR286C",,28,-20,26.9,-35,8.30E-001,0,0,0,0,0.00E+000,28,-20,26.9,-35,8.30E-001
"YDR287W",,10,-5,29,-5,3.20E-002,0,0,0,0,0.00E+000,10,-5,29,-5,3.20E-002
"YDR291W",,18.6,-5,29,-5,2.50E-001,0,0,0,0,0.00E+000,18.6,-5,29,-5,2.50E-001
"YDR306C",,27.8,-20,26.9,-35,6.50E-001,0,0,0,0,0.00E+000,27.8,-20,26.9,-35,6.50E-001
"YDR307W",,35.1,-20,26.9,-35,5.60E-003,23.2,-40,23.8,-40,7.10E-001,27.2,-60,25.2,-75,4.70E-001
"YDR314C",,35.9,-15,29.4,-15,4.50E-001,29.7,-20,21.3,-20,4.70E-003,32.4,-35,24.7,-35,1.10E-002
"YDR316W",,16.8,-5,29,-5,1.50E-001,0,0,0,0,0.00E+000,16.8,-5,29,-5,1.50E-001
"YDR317W",,28.1,-20,26.9,-35,6.70E-001,0,0,0,0,0.00E+000,28.1,-20,26.9,-35,6.70E-001
"YDR319C",,30.7,-20,26.9,-35,3.40E-001,0,0,0,0,0.00E+000,30.7,-20,26.9,-35,3.40E-001
"YDR326C",,28.4,-25,25.4,-35,4.00E-001,0,0,0,0,0.00E+000,28.4,-25,25.4,-35,4.00E-001
"YDR330W",,25.4,-5,29,-5,1.00E+000,0,0,0,0,0.00E+000,25.4,-5,29,-5,1.00E+000
"YDR333C",,19.2,-5,29,-5,2.10E-001,0,0,0,0,0.00E+000,19.2,-5,29,-5,2.10E-001
"YDR334W",,24.1,-30,26.9,-30,1.10E-001,0,0,0,0,0.00E+000,24.1,-30,26.9,-30,1.10E-001
"YDR336W",,26.8,-25,27.6,-25,6.80E-001,0,0,0,0,0.00E+000,26.8,-25,27.6,-25,6.80E-001
"YDR417C",,28.5,-20,22.7,-20,6.20E-002,0,0,0,0,0.00E+000,28.5,-20,22.7,-20,6.20E-002
"YDR444W",,27.3,-10,22.7,-10,3.80E-001,0,0,0,0,0.00E+000,27.3,-10,22.7,-10,3.80E-001
"YDR506C",,27.3,-30,25.3,-40,5.10E-001,0,0,0,0,0.00E+000,27.3,-30,25.3,-40,5.10E-001
"YER181C",,27.6,-25,24,-55,3.10E-001,0,0,0,0,0.00E+000,27.6,-25,24,-55,3.10E-001
"YER184C",,21.2,-10,22.7,-10,4.00E-001,0,0,0,0,0.00E+000,21.2,-10,22.7,-10,4.00E-001
"YER185W",,25.6,-20,24.4,-20,9.90E-001,0,0,0,0,0.00E+000,25.6,-20,24.4,-20,9.90E-001
"YER186C",,31.6,-25,24,-55,8.00E-003,24.4,-40,25.3,-60,3.30E-001,27.2,-65,24.7,-115,2.80E-001
"YER187W",,32.8,-35,25.4,-35,2.50E-002,24,-40,25.3,-60,1.40E-001,28.1,-75,25.3,-95,5.10E-001
"YGL199C",,21.2,-10,25.1,-10,3.20E-001,0,0,0,0,0.00E+000,21.2,-10,25.1,-10,3.20E-001
"YGL214W",,31.7,-25,27.1,-35,2.00E-001,0,0,0,0,0.00E+000,31.7,-25,27.1,-35,2.00E-001
"YGL217C",,30.2,-25,27.1,-35,3.50E-001,0,0,0,0,0.00E+000,30.2,-25,27.1,-35,3.50E-001
"YGL235W",,32.6,-25,27.1,-35,4.00E-002,0,0,0,0,0.00E+000,32.6,-25,27.1,-35,4.00E-002
"YGR011W",,26.8,-25,27.1,-35,8.10E-001,0,0,0,0,0.00E+000,26.8,-25,27.1,-35,8.10E-001
"YGR018C",,25.7,-10,28.5,-10,8.80E-001,0,0,0,0,0.00E+000,25.7,-10,28.5,-10,8.80E-001
"YGR022C",,23.7,-10,28.5,-10,6.00E-001,0,0,0,0,0.00E+000,23.7,-10,28.5,-10,6.00E-001
"YGR054W",,23.7,-10,29.3,-10,2.90E-001,0,0,0,0,0.00E+000,23.7,-10,29.3,-10,2.90E-001
"YGR058W",,19.8,-5,32.8,-5,1.60E-001,0,0,0,0,0.00E+000,19.8,-5,32.8,-5,1.60E-001
"YGR064W",,27.4,-25,28.4,-25,8.50E-001,0,0,0,0,0.00E+000,27.4,-25,28.4,-25,8.50E-001
"YGR066C",,25.5,-20,25.9,-65,3.50E-001,0,0,0,0,0.00E+000,25.5,-20,25.9,-65,3.50E-001
"YGR067C",,27.2,-15,27,-25,9.70E-001,0,0,0,0,0.00E+000,27.2,-15,27,-25,9.70E-001
"YGR068C",,26.6,-25,25.3,-25,8.20E-001,0,0,0,0,0.00E+000,26.6,-25,25.3,-25,8.20E-001
"YGR069W",,27.8,-25,25.3,-25,2.10E-001,0,0,0,0,0.00E+000,27.8,-25,25.3,-25,2.10E-001
"YGR071C",,13.8,-5,32.8,-5,3.20E-002,0,0,0,0,0.00E+000,13.8,-5,32.8,-5,3.20E-002
"YGR079W",,22.6,-10,29.3,-10,1.20E-001,0,0,0,0,0.00E+000,22.6,-10,29.3,-10,1.20E-001
"YGR107W",,29.8,-25,25.3,-25,3.50E-001,0,0,0,0,0.00E+000,29.8,-25,25.3,-25,3.50E-001
"YGR111W",,22.2,-5,32.8,-5,2.90E-001,0,0,0,0,0.00E+000,22.2,-5,32.8,-5,2.90E-001
"YGR122W",,23.9,-10,29.3,-10,2.90E-001,0,0,0,0,0.00E+000,23.9,-10,29.3,-10,2.90E-001
"YHR022C",,21.8,-5,22.4,-5,8.40E-001,0,0,0,0,0.00E+000,21.8,-5,22.4,-5,8.40E-001
"YHR029C",,21,-5,22.4,-5,5.10E-001,0,0,0,0,0.00E+000,21,-5,22.4,-5,5.10E-001
"YHR033W",,23.8,-5,22.4,-5,8.70E-001,0,0,0,0,0.00E+000,23.8,-5,22.4,-5,8.70E-001
"YHR035W",,22,-5,22.4,-5,9.40E-001,0,0,0,0,0.00E+000,22,-5,22.4,-5,9.40E-001
"YHR048W",,23.6,-5,22.4,-5,8.90E-001,0,0,0,0,0.00E+000,23.6,-5,22.4,-5,8.90E-001
"YHR049CA",,24.4,-5,22.4,-5,4.80E-001,0,0,0,0,0.00E+000,24.4,-5,22.4,-5,4.80E-001
"YHR049W",,23.8,-5,22.4,-5,9.50E-001,0,0,0,0,0.00E+000,23.8,-5,22.4,-5,9.50E-001
"YHR078W",,21,-5,22.4,-5,1.00E+000,0,0,0,0,0.00E+000,21,-5,22.4,-5,1.00E+000
"YHR080C",,23.8,-5,22.4,-5,7.30E-001,0,0,0,0,0.00E+000,23.8,-5,22.4,-5,7.30E-001
"YHR087W",,23.1,-15,25,-25,5.10E-001,0,0,0,0,0.00E+000,23.1,-15,25,-25,5.10E-001
"YHR095W",,16.8,-5,22.4,-5,1.50E-001,0,0,0,0,0.00E+000,16.8,-5,22.4,-5,1.50E-001
"YHR096W",,26.5,-15,25,-25,9.20E-001,0,0,0,0,0.00E+000,26.5,-15,25,-25,9.20E-001
"YHR097C",,26.8,-15,25,-25,4.40E-001,0,0,0,0,0.00E+000,26.8,-15,25,-25,4.40E-001
"YHR100C",,15,-5,22.4,-5,2.20E-001,0,0,0,0,0.00E+000,15,-5,22.4,-5,2.20E-001
"YHR112C",,24.6,-5,22.4,-5,6.00E-001,0,0,0,0,0.00E+000,24.6,-5,22.4,-5,6.00E-001
"YHR113W",,28.6,-20,24.6,-65,2.40E-001,0,0,0,0,0.00E+000,28.6,-20,24.6,-65,2.40E-001
"YHR115C",,20.2,-5,22.4,-5,7.40E-001,0,0,0,0,0.00E+000,20.2,-5,22.4,-5,7.40E-001
"YHR116W",,10,-5,22.4,-5,1.60E-002,0,0,0,0,0.00E+000,10,-5,22.4,-5,1.60E-002
"YHR121W",,24.4,-5,22.4,-5,7.40E-001,0,0,0,0,0.00E+000,24.4,-5,22.4,-5,7.40E-001
"YHR125W",,20.6,-5,22.4,-5,6.50E-001,0,0,0,0,0.00E+000,20.6,-5,22.4,-5,6.50E-001
"YHR126C",,19,-25,26.3,-25,2.90E-003,0,0,0,0,0.00E+000,19,-25,26.3,-25,2.90E-003
"YHR130C",,35,-30,24.7,-35,1.10E-004,23.7,-40,25.3,-60,2.10E-001,28.6,-70,25,-95,1.00E-001
"YHR138C",,28,-25,26.3,-25,3.00E-001,0,0,0,0,0.00E+000,28,-25,26.3,-25,3.00E-001
"YHR139CA",,27.5,-15,25,-25,3.10E-001,0,0,0,0,0.00E+000,27.5,-15,25,-25,3.10E-001
"YHR151C",,27.2,-30,24.7,-35,4.60E-001,0,0,0,0,0.00E+000,27.2,-30,24.7,-35,4.60E-001
"YHR155W",,19.4,-5,22.4,-5,6.00E-001,0,0,0,0,0.00E+000,19.4,-5,22.4,-5,6.00E-001
"YHR159W",,22,-5,22.4,-5,8.90E-001,0,0,0,0,0.00E+000,22,-5,22.4,-5,8.90E-001
"YHR182W",,17.2,-5,22.4,-5,2.90E-001,0,0,0,0,0.00E+000,17.2,-5,22.4,-5,2.90E-001
"YIL001W",,31.8,-25,27.6,-25,1.50E-001,0,0,0,0,0.00E+000,31.8,-25,27.6,-25,1.50E-001
"YIL056W",,21,-10,22.7,-10,6.50E-001,0,0,0,0,0.00E+000,21,-10,22.7,-10,6.50E-001
"YIL102C",,26.5,-25,25.2,-25,8.20E-001,0,0,0,0,0.00E+000,26.5,-25,25.2,-25,8.20E-001
"YIL158W",,23.8,-25,25.4,-35,2.40E-001,0,0,0,0,0.00E+000,23.8,-25,25.4,-35,2.40E-001
"YJR039W",,25,-10,22.7,-10,3.60E-001,0,0,0,0,0.00E+000,25,-10,22.7,-10,3.60E-001
"YKR045C",,28.2,-20,28.4,-35,7.30E-001,0,0,0,0,0.00E+000,28.2,-20,28.4,-35,7.30E-001
"YKR047W",,23.2,-5,29,-5,6.50E-001,0,0,0,0,0.00E+000,23.2,-5,29,-5,6.50E-001
"YKR051W",,25.4,-5,29,-5,8.80E-001,0,0,0,0,0.00E+000,25.4,-5,29,-5,8.80E-001
"YKR064W",,25.6,-20,28.4,-35,1.30E-001,0,0,0,0,0.00E+000,25.6,-20,28.4,-35,1.30E-001
"YKR087C",,9.2,-5,28.8,-5,1.60E-002,0,0,0,0,0.00E+000,9.2,-5,28.8,-5,1.60E-002
"YKR089C",,23.3,-20,26.9,-30,1.10E-001,0,0,0,0,0.00E+000,23.3,-20,26.9,-30,1.10E-001
"YKR100C",,20.8,-5,28.8,-5,5.80E-001,0,0,0,0,0.00E+000,20.8,-5,28.8,-5,5.80E-001
"YKR105C",,29.3,-20,24.8,-50,8.30E-002,21.2,-40,21.1,-20,9.70E-001,23.9,-60,23.7,-70,9.90E-001
"YLR262CA",,29.8,-20,26.9,-30,3.30E-001,0,0,0,0,0.00E+000,29.8,-20,26.9,-30,3.30E-001
"YLR345W",,19.2,-15,23.7,-15,1.20E-001,0,0,0,0,0.00E+000,19.2,-15,23.7,-15,1.20E-001
"YLR349W",,30.1,-25,25.4,-35,1.40E-001,0,0,0,0,0.00E+000,30.1,-25,25.4,-35,1.40E-001
"YLR352W",,23.4,-25,24,-55,8.20E-001,0,0,0,0,0.00E+000,23.4,-25,24,-55,8.20E-001
"YLR356W",,19,-10,22.7,-10,3.00E-001,0,0,0,0,0.00E+000,19,-10,22.7,-10,3.00E-001
"YLR364W",,27.6,-25,25.4,-35,4.50E-001,0,0,0,0,0.00E+000,27.6,-25,25.4,-35,4.50E-001
"YLR365W",,23.8,-15,23.7,-15,7.40E-001,0,0,0,0,0.00E+000,23.8,-15,23.7,-15,7.40E-001
"YLR366W",,30.9,-30,25.5,-40,8.50E-002,0,0,0,0,0.00E+000,30.9,-30,25.5,-40,8.50E-002
"YLR374C",,19,-10,22.7,-10,7.60E-001,0,0,0,0,0.00E+000,19,-10,22.7,-10,7.60E-001
"YLR385C",,26.4,-25,25.4,-35,7.70E-001,0,0,0,0,0.00E+000,26.4,-25,25.4,-35,7.70E-001
"YLR387C",,25.9,-25,25.4,-35,6.10E-001,0,0,0,0,0.00E+000,25.9,-25,25.4,-35,6.10E-001
"YLR422W",,33.9,-30,26.9,-30,2.40E-002,20.8,-40,21.1,-20,7.00E-001,26.4,-70,24.5,-50,6.50E-001
"YLR426W",,18.6,-25,25.8,-25,7.60E-003,0,0,0,0,0.00E+000,18.6,-25,25.8,-25,7.60E-003
"YLR428C",,28.2,-20,26.9,-30,7.70E-001,0,0,0,0,0.00E+000,28.2,-20,26.9,-30,7.70E-001
"YLR434C",,22.8,-5,28.8,-5,4.50E-001,0,0,0,0,0.00E+000,22.8,-5,28.8,-5,4.50E-001
"YLR437C",,21.8,-20,26.9,-30,5.00E-002,0,0,0,0,0.00E+000,21.8,-20,26.9,-30,5.00E-002
"YLR444C",,23.4,-20,26.9,-30,1.10E-001,0,0,0,0,0.00E+000,23.4,-20,26.9,-30,1.10E-001
"YLR445W",,13,-5,28.8,-5,3.20E-002,0,0,0,0,0.00E+000,13,-5,28.8,-5,3.20E-002
"YLR446W",,24.2,-5,28.8,-5,6.90E-001,0,0,0,0,0.00E+000,24.2,-5,28.8,-5,6.90E-001
"YLR456W",,21.6,-5,28.8,-5,5.20E-001,0,0,0,0,0.00E+000,21.6,-5,28.8,-5,5.20E-001
"YLR460C",,19.5,-20,26.9,-30,7.20E-003,0,0,0,0,0.00E+000,19.5,-20,26.9,-30,7.20E-003
"YML010CB",,23.9,-30,26.9,-30,2.40E-001,0,0,0,0,0.00E+000,23.9,-30,26.9,-30,2.40E-001
"YMR052CA",,26.2,-25,25.4,-35,8.90E-001,0,0,0,0,0.00E+000,26.2,-25,25.4,-35,8.90E-001
"YMR057C",,28.2,-25,24,-55,4.40E-001,0,0,0,0,0.00E+000,28.2,-25,24,-55,4.40E-001
"YMR158CB",,19.6,-5,28.8,-5,2.90E-001,0,0,0,0,0.00E+000,19.6,-5,28.8,-5,2.90E-001
"YMR194CA",,21.4,-5,28.8,-5,6.90E-001,0,0,0,0,0.00E+000,21.4,-5,28.8,-5,6.90E-001
"YMR326C",,15.6,-5,28.8,-5,1.30E-001,0,0,0,0,0.00E+000,15.6,-5,28.8,-5,1.30E-001
"YNR061C",,26.9,-20,26.9,-30,4.60E-001,0,0,0,0,0.00E+000,26.9,-20,26.9,-30,4.60E-001
"YNR062C",,23.4,-20,26.9,-30,1.20E-001,0,0,0,0,0.00E+000,23.4,-20,26.9,-30,1.20E-001
"YNR063W",,22.4,-5,28.8,-5,6.80E-001,0,0,0,0,0.00E+000,22.4,-5,28.8,-5,6.80E-001
"YNR064C",,18.2,-5,28.8,-5,3.30E-001,0,0,0,0,0.00E+000,18.2,-5,28.8,-5,3.30E-001
"YNR066C",,14,-5,28.8,-5,4.00E-002,0,0,0,0,0.00E+000,14,-5,28.8,-5,4.00E-002
"YNR068C",,12.4,-5,28.8,-5,5.60E-002,0,0,0,0,0.00E+000,12.4,-5,28.8,-5,5.60E-002
"YOR008CA",,29.2,-20,26.9,-30,1.90E-001,0,0,0,0,0.00E+000,29.2,-20,26.9,-30,1.90E-001
"YOR097C",,30.6,-25,25.3,-25,2.20E-001,0,0,0,0,0.00E+000,30.6,-25,25.3,-25,2.20E-001
"YOR105W",,25.3,-25,25.3,-25,8.20E-001,0,0,0,0,0.00E+000,25.3,-25,25.3,-25,8.20E-001
"YOR111W",,28.3,-40,25.4,-85,2.30E-001,32.1,-20,31,-40,7.20E-001,29.5,-60,27.2,-125,2.10E-001
"YOR112W",,25.8,-25,25.3,-25,9.40E-001,0,0,0,0,0.00E+000,25.8,-25,25.3,-25,9.40E-001
"YOR114W",,25.8,-5,32.8,-5,5.50E-001,0,0,0,0,0.00E+000,25.8,-5,32.8,-5,5.50E-001
"YOR118W",,28.6,-20,25.9,-65,6.00E-001,0,0,0,0,0.00E+000,28.6,-20,25.9,-65,6.00E-001
"YOR121C",,21.2,-5,32.8,-5,2.20E-001,0,0,0,0,0.00E+000,21.2,-5,32.8,-5,2.20E-001
"YOR129C",,18,-5,32.8,-5,1.30E-001,0,0,0,0,0.00E+000,18,-5,32.8,-5,1.30E-001
"YOR131C",,23.7,-10,29.3,-10,3.60E-001,0,0,0,0,0.00E+000,23.7,-10,29.3,-10,3.60E-001
"YOR135C",,31,-20,25.4,-65,7.30E-002,29.5,-40,24.8,-40,2.40E-003,30,-60,25.2,-105,3.20E-004
"YOR139C",,25.6,-10,29.3,-10,5.00E-001,0,0,0,0,0.00E+000,25.6,-10,29.3,-10,5.00E-001
"YOR152C",,21.8,-5,32.8,-5,1.30E-001,0,0,0,0,0.00E+000,21.8,-5,32.8,-5,1.30E-001
"YOR154W",,25.6,-5,32.8,-5,3.80E-001,0,0,0,0,0.00E+000,25.6,-5,32.8,-5,3.80E-001
"YOR161C",,22.9,-10,29.3,-10,1.60E-001,0,0,0,0,0.00E+000,22.9,-10,29.3,-10,1.60E-001
"YOR164C",,22.6,-5,32.8,-5,3.10E-001,0,0,0,0,0.00E+000,22.6,-5,32.8,-5,3.10E-001
"YOR166C",,33.7,-25,28.4,-25,6.30E-002,0,0,0,0,0.00E+000,33.7,-25,28.4,-25,6.30E-002
"YOR170W",,23.3,-10,29.3,-10,2.10E-001,0,0,0,0,0.00E+000,23.3,-10,29.3,-10,2.10E-001
"YOR175C",,22.9,-10,29.3,-10,9.60E-002,0,0,0,0,0.00E+000,22.9,-10,29.3,-10,9.60E-002
